order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price_x,discount_pct,total_amount,first_name,last_name,gender,age,signup_date,region_x,tenure_days,product_name,category,brand,cost_price,unit_price_y,margin_pct,store_name,store_type,region_y,city,operating_cost,return_id,return_date,return_reason
O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88,Stephanie,Brooks,Other,68,2023-06-17,South,817,Branda Development,Apparel,Brandc,84.49,127.24,33.6,"Foster, Gutierrez and Li Store",Franchise,West,Los Angeles,11797.63,,,
O00019,2023-04-28,C0616,P0255,Unknown,Online,10,21.15,0.2,169.20000000000002,Linda,Hamilton,Male,58,2022-11-16,East,1030,Brandc Exactly,Electronics,Brandc,17.85,21.15,15.6,,,,,,,,
O00020,2024-03-15,C0471,P0647,Unknown,Online,2,139.35,0.1,250.83,Deanna,Pitts,Male,35,2023-06-04,South,830,Brandc Almost,Apparel,Brandb,105.87,139.35,24.03,,,,,,R0166,2024-05-23,No Longer Needed
O00021,2023-11-27,C0511,P0933,Unknown,Online,2,25.25,0.1,45.45,Robert,Chung,Other,25,2024-11-14,South,301,Brandd Old,Apparel,Brandd,13.75,25.25,45.54,,,,,,,,
O00022,2024-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0,Shannon,Henry,Female,30,2024-05-22,West,477,Brandc Quality,Electronics,Unknown,176.02,235.0,25.1,Alvarado-Jackson Store,Mall Kiosk,West,Chicago,36260.28,,,
O00023,2024-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29,Mark,Franklin,Female,57,2020-10-19,South,1788,Brandb Him,Personal Care,Brandc,23.03,26.47,13.0,"Taylor, David and Williams Store",Flagship,West,Phoenix,46405.19,,,
O00024,2024-07-16,C0721,P0771,Unknown,Online,2,155.11,0.1,279.2,Elaine,Young,Other,47,2022-04-12,East,1248,Brandd Impact,Apparel,Brandc,81.54,155.11,47.43,,,,,,,,
O00025,2024-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33,Jessica,Nelson,Female,22,2023-06-15,North,819,Branda Agree,Electronics,Brandb,21.12,39.3,46.26,"Foster, Gutierrez and Li Store",Franchise,West,Los Angeles,11797.63,,,
O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37,Matthew,Watson,Other,24,2024-03-26,West,534,Branda Yeah,Apparel,Branda,183.08,230.23,20.48,Castillo and Sons Store,Flagship,South,Chicago,78806.3,,,
O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02,Jamie,Le,Female,59,2022-09-26,South,1081,Brandd Half,Personal Care,Brandd,95.57,134.39,28.89,Whitaker LLC Store,Mall Kiosk,East,Chicago,45045.28,,,
O00028,2023-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17,Lorraine,Smith,Female,31,2023-06-05,West,829,Branda Team,Apparel,Brandc,90.71,171.98,47.26,"Phillips, Chavez and Medina Store",Franchise,South,New York,30518.79,,,
O00029,2024-07-12,C0540,P0579,Unknown,Online,1,137.64,0.05,130.76,Jessica,Joseph,Other,65,2023-05-31,South,834,Branda See,Apparel,Brandd,74.19,137.64,46.1,,,,,,,,
O00030,2024-10-21,C0561,P0806,Unknown,Online,1,38.24,0.1,34.42,Alicia,Howe,Male,48,2021-01-08,West,1707,Brandb Way,Personal Care,Brandb,24.55,38.24,35.8,,,,,,,,
O00031,2024-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51,Ryan,Castro,Male,44,2021-06-23,East,1541,Brandb Not,Electronics,Brandc,170.81,280.19,39.04,"Mcguire, Powers and Lang Store",Flagship,South,Los Angeles,14128.74,R0176,2024-08-17,No Longer Needed
O00032,2025-01-27,C0167,P1182,Unknown,Online,1,275.08,0.2,220.06,Matthew,Anthony,Female,52,2021-08-29,East,1474,Brandd Measure,Personal Care,Brandb,167.92,275.08,38.96,,,,,,,,
O00033,2024-06-19,C0148,P0429,Unknown,Online,1,257.83,0.05,244.94,Philip,Castillo,Male,28,2021-01-09,East,1706,Brandb Watch,Apparel,Brandc,138.39,257.83,46.33,,,,,,,,
O00034,2024-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72,Karen,Clark,Female,62,2023-05-31,East,834,Brandc Maybe,Personal Care,Brandd,13.55,25.86,47.6,Blankenship-Brown Store,Franchise,West,Phoenix,31558.52,,,
O00035,2023-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35,Christopher,Brown,Other,20,2021-04-30,West,1595,Brandd Impact,Apparel,Brandc,81.54,155.11,47.43,King-Williams Store,Mall Kiosk,East,Chicago,45672.59,,,
O00036,2023-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11,Rachel,King,Male,45,2024-04-08,East,521,Brandd Program,Apparel,Brandc,152.25,242.37,37.18,Dunlap-Thornton Store,Flagship,East,Chicago,50349.53,,,
O00037,2024-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95,Ian,Carter,Female,44,2024-10-05,East,341,Branda Board,Electronics,Brandc,132.72,147.47,10.0,"Rasmussen, Meyers and Mendoza Store",Franchise,West,Chicago,21491.12,,,
O00038,2024-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41,Kayla,Burke,Other,39,2024-01-02,East,618,Brandb Lay,Electronics,Brandc,108.79,178.11,38.92,Alvarado-Jackson Store,Mall Kiosk,West,Chicago,36260.28,,,
O00039,2024-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73,Heather,Bradley,Male,69,2025-01-03,West,251,Brandc Direction,Apparel,Branda,181.16,304.66,40.54,"Harrington, Blackburn and Soto Store",Franchise,West,Chicago,35954.96,,,
O00040,2023-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08,Jonathan,Marshall,Female,30,2025-03-18,East,177,Brandb Type,Apparel,Brandd,154.31,298.36,48.28,Marshall PLC Store,Flagship,North,Los Angeles,51484.15,,,
O00041,2023-12-30,C0500,P1043,Unknown,Online,2,321.82,0.2,514.91,Heather,Martinez,Male,41,2022-07-02,South,1167,Brandc Apply,Personal Care,Brandc,198.11,321.82,38.44,,,,,,,,
O00042,2024-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37,Rachel,Little,Male,44,2022-03-23,North,1268,Brandc Nothing,Personal Care,Branda,32.26,62.96,48.76,Dunlap-Thornton Store,Flagship,East,Chicago,50349.53,R0070,2024-07-08,Wrong Item
O00043,2024-05-28,C0660,P0888,Unknown,Online,2,99.91,0.05,189.83,William,Miller,Female,38,2024-07-13,East,425,Branda One,Apparel,Brandd,50.37,99.91,49.58,,,,,,,,
O00044,2023-12-09,C0065,P1100,Unknown,Online,1,74.54,0.0,74.54,Jessica,Lopez,Female,50,2024-11-25,East,290,Brandb Standard,Apparel,Branda,42.65,74.54,42.78,,,,,,,,
O00045,2024-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34,Mark,Porter,Female,45,2023-11-04,West,677,Brandd Media,Home & Kitchen,Brandc,36.58,42.67,14.27,Lee-Smith Store,Flagship,West,Houston,59424.88,,,
O00046,2025-02-09,C0212,P0240,Unknown,Online,10,85.49,0.05,812.2,Tyler,Hale,Other,51,2021-08-28,West,1475,Branda Real,Personal Care,Unknown,52.45,85.49,38.65,,,,,,R0033,2024-05-02,Late Delivery
O00047,2023-08-01,C0457,P0643,Unknown,Online,1,252.43,0.05,239.81,Jimmy,Donaldson,Female,60,2023-03-03,West,923,Brandb Off,Personal Care,Brandc,137.05,252.43,45.71,,,,,,,,
O00048,2024-08-29,C0668,P0330,Unknown,Online,1,355.55,0.1,320.0,Jonathan,Marshall,Female,30,2025-03-18,East,177,Branda Trouble,Electronics,Brandc,189.35,355.55,46.74,,,,,,,,
O00049,2024-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79,James,Small,Other,63,2022-01-13,West,1337,Brandb Player,Apparel,Brandd,115.36,209.18,44.85,Martin-Hernandez Store,Franchise,South,New York,18171.15,,,
O00050,2023-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33,Juan,Cantu,Other,32,2021-04-14,West,1611,Brandd Debate,Electronics,Brandb,106.14,170.33,37.69,Robinson PLC Store,Flagship,East,Phoenix,47603.84,,,
O00051,2024-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72,Michael,Brewer,Female,56,2024-11-12,East,303,Branda Game,Home & Kitchen,Branda,60.93,71.55,14.84,Woods Ltd Store,Franchise,South,Chicago,36631.52,,,
O00052,2023-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6,Karina,Thompson,Other,46,2021-02-14,North,1670,Branda Sort,Personal Care,Brandb,131.24,215.37,39.06,"Smith, Johnson and Le Store",Flagship,North,New York,70315.86,,,
O00053,2023-10-19,C0678,P0091,Unknown,Online,1,27.29,0.05,25.93,Audrey,Benson,Female,32,2023-07-09,West,795,Brandb Add,Home & Kitchen,Brandd,20.11,27.29,26.31,,,,,,,,
O00054,2023-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36,Helen,Brown,Female,29,2023-08-22,West,751,Brandc Upon,Apparel,Brandd,198.93,285.95,30.43,Ortiz-Smith Store,Mall Kiosk,North,Chicago,37877.11,,,
O00055,2023-05-12,C0746,P0864,Unknown,Online,3,113.48,0.1,306.4,Tonya,Wilson,Other,46,2024-06-04,South,464,Branda Charge,Personal Care,Brandd,63.42,113.48,44.11,,,,,,,,
O00056,2023-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25,Luke,Santos,Female,32,2021-05-28,North,1567,Brandd While,Apparel,Brandb,118.75,135.83,12.57,Mayer-Scott Store,Flagship,North,Houston,14898.94,,,
O00057,2024-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86,Alice,Ross,Male,26,2021-09-23,South,1449,Brandd President,Personal Care,Brandd,179.45,259.84,30.94,Oconnor-Rhodes Store,Franchise,East,Los Angeles,40965.26,,,
O00058,2023-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1,Vicki,Duncan,Male,56,2021-08-11,East,1492,Brandd Set,Personal Care,Brandd,165.56,219.0,24.4,Blankenship-Brown Store,Franchise,West,Phoenix,31558.52,,,
O00059,2023-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96,Jeremy,Snyder,Male,25,2024-09-05,North,371,Brandc Almost,Apparel,Brandb,105.87,139.35,24.03,King-Williams Store,Mall Kiosk,East,Chicago,45672.59,,,
O00060,2024-04-19,C0618,P0506,Unknown,Online,3,76.44,0.0,229.32,Jade,Blackwell,Male,36,2020-11-13,South,1763,Brandd Suggest,Electronics,Brandd,44.45,76.44,41.85,,,,,,,,
O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18,Anthony,Reed,Male,70,2023-01-09,West,976,Brandb Choice,Personal Care,Brandb,58.9,75.06,21.53,Wyatt PLC Store,Franchise,West,Los Angeles,20830.71,,,
O00062,2024-03-09,C0341,P0559,Unknown,Online,1,286.97,0.05,272.62,Eric,Wilson,Other,19,2023-04-12,West,883,Branda Character,Apparel,Brandc,166.15,286.97,42.1,,,,,,,,
O00063,2023-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09,Courtney,Banks,Male,60,2024-10-24,South,322,Brandc Fast,Apparel,Brandd,102.72,121.36,15.36,Jones-Harris Store,Flagship,West,Houston,39588.81,,,
O00064,2023-08-20,C0596,P0252,Unknown,Online,1,231.15,0.1,208.03,David,Carr,Female,18,2022-08-22,South,1116,Brandd Do,Electronics,Brandc,196.57,231.15,14.96,,,,,,,,
O00065,2023-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12,Sarah,Caldwell,Male,52,2020-09-10,West,1827,Brandb Care,Personal Care,Brandd,77.35,151.18,48.84,Martin Ltd Store,Franchise,North,Houston,49696.45,,,
O00066,2023-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74,Dylan,Rangel,Male,34,2022-11-21,North,1025,Brandb Simple,Electronics,Brandb,119.34,218.6,45.41,Bennett-Salazar Store,Flagship,South,Houston,22350.49,R0099,2025-02-20,Late Delivery
O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11,Paul,Pace,Male,60,2023-10-22,South,690,Brandd Economy,Apparel,Brandd,58.2,106.39,45.3,Hudson Group Store,Mall Kiosk,West,Phoenix,17643.68,,,
O00068,2024-06-12,C0130,P0530,Unknown,Online,2,274.32,0.05,521.21,Sarah,Cruz,Male,58,2023-08-19,South,754,Branda Firm,Home & Kitchen,Brandd,147.34,274.32,46.29,,,,,,,,
O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99,Karen,Becker,Female,49,2021-11-12,West,1399,Brandb Far,Personal Care,Brandc,12.88,22.99,43.98,Robinson PLC Store,Flagship,East,Phoenix,47603.84,,,
O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05,Michael,Jefferson,Male,66,2023-04-02,North,893,Brandb Film,Electronics,Brandb,135.84,218.78,37.91,"Gibson, Smith and Simpson Store",Franchise,West,Los Angeles,67372.27,,,
O00071,2023-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4,Sean,Macdonald,Female,63,2022-06-06,West,1193,Branda Mention,Electronics,Branda,167.86,204.25,17.82,Anderson-Norman Store,Flagship,North,New York,28625.65,,,
O00072,2023-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81,Stephen,Vasquez,Female,60,2022-05-03,North,1227,Brandb Budget,Electronics,Brandc,156.25,181.91,14.11,"Mcguire, Powers and Lang Store",Flagship,South,Los Angeles,14128.74,,,
O00073,2024-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56,Mary,Barton,Female,53,2025-02-12,South,211,Brandd She,Electronics,Brandd,178.47,249.56,28.49,"Griffin, Walker and Medina Store",Franchise,West,New York,33326.39,,,
O00074,2024-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4,Christine,Thompson,Other,52,2021-10-15,North,1427,Branda Chance,Personal Care,Branda,156.25,205.2,23.85,Bennett-Salazar Store,Flagship,South,Houston,22350.49,,,
O00075,2023-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53,Sara,Bowman,Female,51,2022-01-15,North,1335,Branda Goal,Home & Kitchen,Brandb,26.67,40.51,34.16,Anderson-Norman Store,Flagship,North,New York,28625.65,,,
O00076,2023-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72,Shane,Ryan,Other,45,2024-08-24,West,383,Branda Gas,Apparel,Brandb,93.33,127.15,26.6,Mcdaniel-Bennett Store,Flagship,South,Phoenix,15471.52,,,
O00077,2024-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87,Jason,Mcneil,Male,29,2022-05-17,South,1213,Branda This,Electronics,Branda,18.73,32.87,43.02,Jackson-Olson Store,Mall Kiosk,North,Houston,71949.97,,,
O00078,2024-06-02,C0763,P0014,Unknown,In-Store,1,34.42,0.1,30.98,Rachel,Little,Male,44,2022-03-23,North,1268,Brandc Argue,Personal Care,Brandc,17.91,34.42,47.97,,,,,,,,
O00079,2024-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04,William,Roach,Female,62,2021-03-10,North,1646,Branda Compare,Electronics,Branda,16.09,26.3,38.82,Washington-Trujillo Store,Franchise,North,Los Angeles,66101.63,,,
O00080,2023-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65,Justin,Chang,Female,55,2023-12-20,North,631,Brandd Pay,Apparel,Brandd,138.28,200.65,31.08,Dunlap-Thornton Store,Flagship,East,Chicago,50349.53,,,
O00081,2024-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74,Thomas,Simmons,Female,27,2023-03-28,South,898,Brandd Goal,Personal Care,Brandd,126.53,190.93,33.73,Santana and Sons Store,Franchise,South,Phoenix,71089.4,,,
O00082,2024-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19,James,French,Other,60,2024-11-19,North,296,Brandc Friend,Apparel,Brandb,143.88,241.25,40.36,Wyatt PLC Store,Franchise,West,Los Angeles,20830.71,,,
O00083,2023-06-05,C0784,P0241,Unknown,Online,1,195.47,0.2,156.38,Angela,Johnson,Other,67,2020-12-12,South,1734,Branda Town,Personal Care,Brandc,150.43,195.47,23.04,,,,,,,,
O00084,2024-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55,Jared,Turner,Male,56,2023-04-25,South,870,Branda Indeed,Apparel,Brandd,71.35,88.47,19.35,Blankenship-Brown Store,Franchise,West,Phoenix,31558.52,,,
O00085,2024-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33,Tyler,Kim,Other,56,2020-11-28,East,1748,Brandc Red,Electronics,Branda,115.79,200.83,42.34,Washington-Trujillo Store,Franchise,North,Los Angeles,66101.63,,,
O00086,2023-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05,Kristina,Manning,Female,23,2021-04-09,South,1616,Brandd Hair,Apparel,Brandd,116.12,197.56,41.22,Chan-Buchanan Store,Franchise,West,Chicago,10449.42,,,
O00087,2023-09-12,C0362,P0219,Unknown,Online,2,125.63,0.05,238.7,Traci,Nichols,Male,40,2022-02-04,East,1315,Brandc Radio,Electronics,Brandd,73.95,125.63,41.14,,,,,,,,
O00088,2024-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19,Karen,Clark,Female,62,2023-05-31,East,834,Brandd Use,Electronics,Branda,97.87,176.19,44.45,Rodriguez-Taylor Store,Franchise,South,Chicago,70369.79,,,
O00089,2023-05-04,C0157,P0841,Unknown,Online,10,101.01,0.2,808.1,Jeremy,Snyder,Male,25,2024-09-05,North,371,Brandc Of,Personal Care,Brandc,53.94,101.01,46.6,,,,,,,,
O00090,2024-09-19,C0787,P0512,Unknown,Online,3,258.13,0.2,619.51,Alicia,Jimenez,Female,19,2023-06-07,West,827,Brandd Once,Electronics,Branda,140.64,258.13,45.52,,,,,,,,
O00091,2023-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76,Melissa,Cole,Female,66,2020-10-10,North,1797,Brandd Both,Apparel,Brandb,179.66,238.06,24.53,Smith-Parker Store,Flagship,South,Houston,21607.65,,,
O00092,2024-03-01,C0449,P0899,Unknown,Online,1,118.47,0.1,106.62,Jessica,White,Male,37,2021-12-14,East,1367,Branda Sure,Apparel,Branda,99.65,118.47,15.89,,,,,,,,
O00093,2024-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03,Brian,Kelley,Male,68,2024-11-21,North,294,Brandb Eat,Apparel,Branda,158.32,196.86,19.58,"Mcguire, Powers and Lang Store",Flagship,South,Los Angeles,14128.74,,,
O00094,2024-11-25,C0291,P0082,Unknown,Online,2,177.36,0.2,283.78,Charlotte,May,Other,61,2023-02-25,South,929,Brandc Society,Electronics,Brandb,136.2,177.36,23.21,,,,,,,,
O00095,2024-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83,John,Frazier,Other,31,2021-07-01,South,1533,Brandd Worry,Apparel,Brandc,105.42,126.04,16.36,Robinson PLC Store,Flagship,East,Phoenix,47603.84,,,
O00096,2024-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66,Sharon,Vasquez,Female,69,2024-04-17,North,512,Brandc Who,Home & Kitchen,Unknown,51.07,62.91,18.82,Whitaker LLC Store,Mall Kiosk,East,Chicago,45045.28,,,
O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1,Erin,Johnson,Other,22,2021-07-12,South,1522,Brandb Thought,Electronics,Brandd,104.16,116.29,10.43,"Phillips, Chavez and Medina Store",Franchise,South,New York,30518.79,,,
O00098,2023-05-30,C0759,P0796,Unknown,Online,1,87.96,0.0,87.96,Amanda,Johnson,Female,21,2022-10-21,North,1056,Branda Impact,Personal Care,Brandd,77.22,87.96,12.21,,,,,,,,
O00099,2024-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09,James,Rodriguez,Other,66,2021-09-25,South,1447,Branda Mean,Electronics,Brandb,64.3,80.1,19.73,Vincent Inc Store,Franchise,West,Chicago,62538.56,,,
O00100,2024-02-29,C0350,P0879,S047,In-Store,3,168.21,0.0,504.63,Peter,Sutton,Other,32,2020-04-24,East,1966,Brandd Son,Personal Care,Brandb,148.84,168.21,11.52,Hudson Group Store,Mall Kiosk,West,Phoenix,17643.68,,,
O00101,2024-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42,Catherine,Martin,Other,37,2024-09-07,South,369,Branda Only,Personal Care,Brandc,154.53,309.01,49.99,"Phillips, Chavez and Medina Store",Franchise,South,New York,30518.79,,,
O00102,2024-09-21,C0156,P1047,Unknown,Online,2,126.31,0.1,227.36,Zachary,Johnson,Female,44,2020-04-21,South,1969,Brandc Mission,Personal Care,Brandd,79.41,126.31,37.13,,,,,,R0072,2025-02-19,Defective
O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24,Debbie,Nguyen,Female,20,2022-09-19,West,1088,Brandd Suggest,Electronics,Brandd,44.45,76.44,41.85,King-Williams Store,Mall Kiosk,East,Chicago,45672.59,,,
O00104,2024-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25,David,Carr,Female,18,2022-08-22,South,1116,Branda Middle,Electronics,Brandc,123.62,143.29,13.73,Martin-Hernandez Store,Franchise,South,New York,18171.15,,,
O00105,2023-07-25,C0605,P0304,Unknown,Online,1,138.55,0.05,131.62,James,Mason,Female,28,2022-09-15,North,1092,Brandb Treatment,Personal Care,Brandc,77.54,138.55,44.03,,,,,,,,
O00106,2024-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85,Adam,Randall,Female,65,2022-10-26,East,1051,Brandb Put,Apparel,Branda,152.45,301.95,49.51,King-Williams Store,Mall Kiosk,East,Chicago,45672.59,R0159,2024-03-10,Wrong Item
O00107,2024-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55,Arthur,Smith,Female,38,2023-10-01,North,711,Branda Among,Home & Kitchen,Brandb,131.78,237.61,44.54,Lee-Smith Store,Flagship,West,Houston,59424.88,,,
O00108,2023-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81,Allison,Black,Female,47,2023-02-24,South,930,Brandb Performance,Personal Care,Brandc,39.64,57.81,31.43,"Armstrong, Anthony and Richmond Store",Mall Kiosk,North,Los Angeles,28293.15,,,
O00109,2023-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16,Johnny,Nunez,Female,44,2022-03-31,East,1260,Branda Same,Electronics,Brandb,43.88,49.07,10.58,Robinson PLC Store,Flagship,East,Phoenix,47603.84,,,
O00110,2023-10-16,C0359,P0856,Unknown,Online,1,72.18,0.0,72.18,Sierra,Dennis,Other,49,2023-04-28,North,867,Brandd Occur,Home & Kitchen,Brandb,53.24,72.18,26.24,,,,,,,,
